,(通常盤),リリース日,タイトル
1st,PCCJ-00004,2001.01.24,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-
Best,JACA-5001,2002.05.16,嵐 Single Collection 1999-2001
2nd,JACA-5003,2002.07.17,HERE WE GO!
3rd,JACA-5008,2003.07.09,How's it going?
4th,JACA-5015,2004.07.21,いざッ、Now
Best,JACA-5020,2004.11.10,5×5 THE BEST SELECTION OF 2002←2004
5th,JACA-5025,2005.08.03,One
6th,JACA-5042,2006.07.05,ARASHIC
7th,JACA-5066,2007.07.11,Time
8th,JACA-5091,2008.04.23,"Dream ""A"" live"
Best,JACA-5202/5203,2009.08.19,All the BEST! 1999-2009
9th,JACA-5232/5233,2010.08.04,僕の見ている風景
10th,JACA-5270,2011.07.06,Beautiful World
,JSNC-005/006/007/008,2012.09.21,ウラ　 マニア
11th,JACA-5339,2012.10.31,Popcorn
12th,JACA-5375,2013.10.23,LOVE
13th,JACA-5444,2014.10.22,THE DIGITALIAN
14th,JACA-5484/5485,2015.10.21,Japonism
15th,JACA-5627,2016.10.26,Are You Happy?
16th,JACA-5685/5686,2017.10.18,「untitled」
Best,JACA-5792/5793/5794/5795,2019.06.26,5×20 All the BEST!! 1999-2019
D-EP,JSDS-0004,2020.02.28,Reborn Vol.1
17th,JACA-5875,2020.11.03,This is 嵐
