タイトル（ / 複数A面）,最高位,登場週数,累計売上(枚),発売日
A・RA・SHI,1,14,"973,310",99.11.3
SUNRISE日本 / HORIZON,1,7,"405,680",00.4.5
台風ジェネレーション -Typhoon Generation-,3,9,"361,100",00.7.12
感謝カンゲキ雨嵐,2,10,"362,490",00.11.8
君のために僕がいる,1,6,"323,020",01.4.18
時代,1,9,"384,460",01.8.1
a Day in Our Life,1,11,"378,050",02.2.6
ナイスな心意気,1,15,"249,000",02.4.17
PIKA☆NCHI,1,22,"187,527",02.10.17
とまどいながら,2,13,"176,484",03.2.13
ハダシの未来 / 言葉より大切なもの,2,18,"223,384",03.9.3
PIKA★★NCHI DOUBLE,1,19,"139,968",04.2.18
瞳の中のGalaxy / Hero,1,12,"256,569",04.8.18
サクラ咲ケ,1,15,"174,331",05.3.23
WISH,1,29,"309,064",05.11.16
きっと大丈夫,1,15,"205,140",06.5.17
アオゾラペダル,1,13,"190,883",06.8.2
Love so sweet,1,86,"457,162",07.2.21
We can make it!,1,13,"205,220",07.5.2
Happiness,1,56,"292,017",07.9.5
Step and Go,1,16,"375,548",08.2.20
One Love,1,61,"564,403",08.6.25
truth / 風の向こうへ,1,49,"659,061",08.8.20
Beautiful days,1,40,"472,674",08.11.5
Believe / 曇りのち、快晴,1,46,"662,801",09.3.4
明日の記憶 / Crazy Moon〜キミ・ハ・ムテキ〜,1,23,"622,011",09.5.27
Everything ,1,46,"432,491",09.7.1
マイガール ,1,30,"560,507",09.11.11
Troublemaker,1,41,"701,686",10.3.3
Monster,1,46,"707,197",10.5.19
To be free,1,30,"519,781",10.7.7
Løve Rainbow,1,25,"627,523",10.9.8
Dear Snow,1,21,"598,790",10.10.6
果てない空,1,28,"693,869",10.11.10
Lotus,1,19,"625,935",11.2.23
迷宮ラブソング,1,30,"647,391",11.11.2
ワイルド アット ハート,1,29,"650,102",12.3.7
Face Down,1,23,"619,940",12.5.9
Your Eyes,1,20,"559,412",12.6.6
Calling / Breathless,1,20,"881,192",13.3.6
Endless Game,1,28,"557,794",13.5.29
Bittersweet,1,20,"591,847",14.2.12
GUTS!,1,44,"609,353",14.4.30
誰も知らない,1,17,"525,256",14.5.28
Sakura,1,14,"521,067",15.2.25
青空の下、キミのとなり,1,24,"572,007",15.5.13
愛を叫べ,1,38,"530,498",15.9.2
復活LOVE,1,17,"541,121",16.2.24
I seek / Daylight,1,26,"829,463",16.5.18
Power of the Paradise,1,21,"474,241",16.9.14
I'll be there,1,16,"438,613",17.4.19
つなぐ,1,19,"434,893",17.6.28
Doors 〜勇気の軌跡〜,1,24,"641,093",17.11.8
Find The Answer,1,23,"440,529",18.2.21
夏疾風,1,31,"542,602",18.7.25
君のうた,1,29,"427,840",18.10.24
BRAVE,1,27,"713,159",19.9.11
カイト,1,8,"1,134,241",20.7.29
